conf,hold,stop,take,trades,pnl,dd
0.6,5,0.003,0.01,67,-0.7059268713560884,1.1943460576224052
0.6,5,0.004,0.004,67,-0.7059268713560884,1.1943460576224052
0.6,5,0.004,0.006,67,-0.7059268713560884,1.1943460576224052
0.6,5,0.004,0.008,67,-0.7059268713560884,1.1943460576224052
0.6,5,0.004,0.01,67,-0.7059268713560884,1.1943460576224052
0.6,3,0.002,0.004,76,-1.5633838425325286,1.6824890608436776
0.6,3,0.002,0.006,76,-1.5633838425325286,1.6824890608436776
0.6,3,0.002,0.008,76,-1.5633838425325286,1.6824890608436776
0.6,3,0.002,0.01,76,-1.5633838425325286,1.6824890608436776
0.6,3,0.003,0.004,76,-1.5633838425325286,1.6824890608436776
0.6,3,0.003,0.006,76,-1.5633838425325286,1.6824890608436776
0.6,3,0.003,0.008,76,-1.5633838425325286,1.6824890608436776
0.6,3,0.003,0.01,76,-1.5633838425325286,1.6824890608436776
0.6,3,0.004,0.004,76,-1.5633838425325286,1.6824890608436776
0.6,3,0.004,0.006,76,-1.5633838425325286,1.6824890608436776
0.6,3,0.004,0.008,76,-1.5633838425325286,1.6824890608436776
0.6,3,0.004,0.01,76,-1.5633838425325286,1.6824890608436776
0.6,7,0.004,0.006,56,-1.5987697890769925,1.8989860307986277
0.6,7,0.004,0.008,56,-1.5987697890769925,1.8989860307986277
0.6,7,0.004,0.01,56,-1.5987697890769925,1.8989860307986277
0.6,7,0.002,0.006,56,-1.6469133381016743,1.9469826967475587
0.6,7,0.002,0.008,56,-1.6469133381016743,1.9469826967475587
0.6,7,0.002,0.01,56,-1.6469133381016743,1.9469826967475587
0.6,7,0.003,0.006,56,-1.6469133381016743,1.9469826967475587
0.6,7,0.003,0.008,56,-1.6469133381016743,1.9469826967475587
0.6,7,0.003,0.01,56,-1.6469133381016743,1.9469826967475587
0.6,7,0.004,0.004,56,-1.7126615020330305,1.8989860307986228
0.6,7,0.002,0.004,56,-1.7607493286723508,1.946982696747516
0.6,7,0.003,0.004,56,-1.7607493286723508,1.946982696747516
0.6,10,0.004,0.006,50,-1.8228208932871692,2.1434922401057723
0.6,10,0.004,0.008,50,-1.8228208932871692,2.1434922401057723
0.6,10,0.004,0.01,50,-1.8228208932871692,2.1434922401057723
0.6,10,0.002,0.006,50,-1.963587271590328,2.2837988400314266
0.6,10,0.002,0.008,50,-1.963587271590328,2.2837988400314266
